pais,longitud,latitud
Peru,-75.0152,-9.1899
Chile,-71.5430,-35.6751
Argentina,-63.6167,-38.4161
Brasil,-51.9253,-14.2350
Colombia,-74.2973,4.5709
Mexico,-102.5528,23.6345
Ecuador,-78.1834,-1.8312
Bolivia,-63.5887,-16.2902
Paraguay,-58.4438,-23.4425
Uruguay,-55.7658,-32.5228
Panama,-80.7821,8.5380
Costa rica,-83.7534,9.7489
Estados unidos,-95.7129,37.0902
Canada,-106.3468,56.1304
Guatemala,-90.2308,15.7835
Honduras,-86.2419,15.2000
Nicaragua,-85.2072,12.8654
El salvador,-88.8965,13.7942
Cuba,-77.7812,21.5218
Republica dominicana,-70.1627,18.7357
Venezuela,-66.5897,6.4238
Espana,-3.7492,40.4637
Francia,2.2137,46.2276
Alemania,10.4515,51.1657
Italia,12.5674,41.8719
Reino unido,-3.4360,55.3781
Portugal,-8.2245,39.3999
Paises bajos,5.2913,52.1326
Belgica,4.4699,50.5039
Suiza,8.2275,46.8182
Austria,14.5501,47.5162
Noruega,8.4689,60.4720
Suecia,18.6435,60.1282
Dinamarca,9.5018,56.2639
Polonia,19.1451,51.9194
Republica checa,15.4730,49.8175
Grecia,21.8243,39.0742
Turquia,35.2433,38.9637
Rusia,105.3188,61.5240
Marruecos,-7.0926,31.7917
Egipto,30.8025,26.8206
Sudafrica,22.9375,-30.5595
Nigeria,8.6753,9.0820
Kenia,37.9062,-0.0236
Etiopia,40.4897,9.1450
Ghana,-1.0232,7.9465
Senegal,-14.4524,14.4974
Argelia,1.6596,28.0339
China,104.1954,35.8617
Japon,138.2529,36.2048
Corea del sur,127.7669,35.9078
India,78.9629,20.5937
Tailandia,100.9925,15.8700
Vietnam,108.2772,14.0583
Singapur,103.8198,1.3521
Indonesia,113.9213,-0.7893
Malasia,101.9758,4.2105
Filipinas,121.7740,12.8797
Arabia saudita,45.0792,23.8859
Emiratos arabes unidos,53.8478,23.4241
Israel,34.8516,31.0461
Qatar,51.1839,25.3548
Australia,133.7751,-25.2744
Nueva zelanda,174.8860,-40.9006
Fiyi,178.0650,-17.7134
